"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","362","ValidateTokenAsync_rejects_a_wrong_token","AuthManager.Tests","2026-07-28","passed","2026-07-28","ApiTokenServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.ApiTokenServiceTests","ValidateTokenAsync_rejects_a_wrong_token"
"","109","UpdateSettingsAsync_persists_twilio_credentials_and_masks_secret_on_read_back","AuthManager.Tests","2026-07-28","passed","2026-07-28","SmsSettingsServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SmsSettingsServiceTests","UpdateSettingsAsync_persists_twilio_credentials_and_masks_secret_on_read_back"
"","55","GetTotalFailuresAsync_counts_only_recent_failures","AuthManager.Tests","2026-07-28","passed","2026-07-28","SignInHistoryServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SignInHistoryServiceTests","GetTotalFailuresAsync_counts_only_recent_failures"
"","222","CreateUserAsync_creates_a_user_with_roles_and_claims","AuthManager.Tests","2026-07-28","passed","2026-07-28","UserManagementServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.UserManagementServiceTests","CreateUserAsync_creates_a_user_with_roles_and_claims"
"","122","UpdateSettingsAsync_persists_values_and_masks_secrets_on_read_back","AuthManager.Tests","2026-07-28","passed","2026-07-28","PaymentSettingsServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.PaymentSettingsServiceTests","UpdateSettingsAsync_persists_values_and_masks_secrets_on_read_back"
"","122","ActivateLicenseAsync_registers_a_machine_and_is_idempotent_for_the_same_machine","AuthManager.Tests","2026-07-28","passed","2026-07-28","LicenseServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.LicenseServiceTests","ActivateLicenseAsync_registers_a_machine_and_is_idempotent_for_the_same_machine"
"","149","AuthManagers_own_services_work_unchanged_against_the_self_contained_store","AuthManager.Tests","2026-07-28","passed","2026-07-28","SelfContainedStorageProviderTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.SelfContainedStorageProviderTests","AuthManagers_own_services_work_unchanged_against_the_self_contained_store"
"","84","Login_options_are_reachable_without_authentication","AuthManager.Tests","2026-07-28","passed","2026-07-28","PasskeysApiTests","AuthManager.Tests.ApiTests","AuthManager.Tests.ApiTests.PasskeysApiTests","Login_options_are_reachable_without_authentication"
"","94","GenerateTestTokenAsync_produces_a_token_that_validates_against_the_configured_key","AuthManager.Tests","2026-07-28","passed","2026-07-28","JwtConfigServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.JwtConfigServiceTests","GenerateTestTokenAsync_produces_a_token_that_validates_against_the_configured_key"
"","109","IsEnabledAsync_honors_a_tenant_override_over_the_global_default","AuthManager.Tests","2026-07-28","passed","2026-07-28","TenantFeatureServiceTests","AuthManager.Tests.ServiceTests","AuthManager.Tests.ServiceTests.TenantFeatureServiceTests","IsEnabledAsync_honors_a_tenant_override_over_the_global_default"
